Indicators:,cultural,borders,gatherings,manufacturing,contact,leisure,eateries,schools ,stores,last week,mean,rounded,round,date,average,std dev,change
SouthKorea,3,3,4,4,4,3,3,4,4,3.44,3.56,3,11,2020-08-04,2.788461538,0.531201051,0.12
Turkey,4,3,4,4,4,4,4,2,3,3.56,3.56,3,11,2020-08-04,2.788461538,0.531201051,0
Denmark,4,3,4,4,4,4,4,4,4,3.89,3.89,3,11,2020-08-04,2.788461538,0.531201051,0
Estonia,4,3,4,4,4,4,4,4,4,3.89,3.89,3,11,2020-08-04,2.788461538,0.531201051,0
Finland,4,3,4,4,4,4,4,4,4,3.89,3.89,3,11,2020-08-04,2.788461538,0.531201051,0
Iceland,4,3,3,4,4,4,4,4,4,3.89,3.78,3,11,2020-08-04,2.788461538,0.531201051,-0.11
Norway,4,3,4,4,4,4,4,4,4,3.89,3.89,3,11,2020-08-04,2.788461538,0.531201051,0
Sweden,4,3,3,4,4,4,4,4,4,3.78,3.78,3,11,2020-08-04,2.788461538,0.531201051,0
Chile,1,2,2,-10,1,1,1,1,1,1.25,1.25,1,11,2020-08-04,2.788461538,0.531201051,0
Mexico,1,3,1,3,1,2,2,1,1,1.67,1.67,1,11,2020-08-04,2.788461538,0.531201051,0
California,2,3,2,4,3,2,2,3,2,2.56,2.56,2,11,2020-08-04,2.788461538,0.531201051,0
Illinois,3,3,2,4,4,4,4,4,4,3.56,3.56,3,11,2020-08-04,2.788461538,0.531201051,0
Michigan,3,3,3,4,3,3,3,3,3,3.11,3.11,3,11,2020-08-04,2.788461538,0.531201051,0
NewYork,2,3,2,3,4,3,3,2,3,2.78,2.78,2,11,2020-08-04,2.788461538,0.531201051,0
Texas,4,3,4,4,4,4,3,4,4,3.78,3.78,3,11,2020-08-04,2.788461538,0.531201051,0
Alberta,3,2,4,4,3,4,4,5,3,3.56,3.56,3,11,2020-08-04,2.788461538,0.531201051,0
BritishColumbia,3,2,2,3,3,3,4,2,3,2.78,2.78,2,11,2020-08-04,2.788461538,0.531201051,0
Manitoba,4,2,3,4,3,4,4,3,4,3.44,3.44,3,11,2020-08-04,2.788461538,0.531201051,0
NewBrunswick,4,2,3,4,4,4,4,3,4,3.56,3.56,3,11,2020-08-04,2.788461538,0.531201051,0
Newfoundland,3,2,2,4,4,4,3,3,4,3.22,3.22,3,11,2020-08-04,2.788461538,0.531201051,0
NorthwestTerritories,2,2,2,4,4,3,3,1,3,2.67,2.67,2,11,2020-08-04,2.788461538,0.531201051,0
NovaScotia,4,2,4,4,4,4,4,3,4,3.67,3.67,3,11,2020-08-04,2.788461538,0.531201051,0
Nunavut,3,2,3,4,3,3,4,3,4,3.22,3.22,3,11,2020-08-04,2.788461538,0.531201051,0
Ontario,3,2,2,4,3,3,3,2,3,2.78,2.78,2,11,2020-08-04,2.788461538,0.531201051,0
PrinceEdwardIsland,4,2,3,4,4,4,3,3,4,3.44,3.44,3,11,2020-08-04,2.788461538,0.531201051,0
Quebec,4,2,4,4,4,4,4,3,4,3.44,3.67,3,11,2020-08-04,2.788461538,0.531201051,0.23
Saskatchewan,4,2,2,4,4,4,4,3,4,3.44,3.44,3,11,2020-08-04,2.788461538,0.531201051,0
Yukon,3,2,3,4,4,3,4,1,2,2.78,2.89,2,11,2020-08-04,2.788461538,0.531201051,0.11
Belgium,4,3,3,4,4,4,4,4,3,3.67,3.67,3,12,2020-08-10,2.807692308,0.520298048,0
France,4,3,2,4,4,4,4,5,4,3.78,3.78,3,12,2020-08-10,2.807692308,0.520298048,0
Germany,4,3,2,4,4,4,4,4,4,3.56,3.67,3,12,2020-08-10,2.807692308,0.520298048,0.11
Ireland,3,3,3,3,4,4,4,3,4,3.44,3.44,3,12,2020-08-10,2.807692308,0.520298048,0
Luxembourg,4,3,2,4,3,3,4,3,4,3.33,3.33,3,12,2020-08-10,2.807692308,0.520298048,0
Netherlands,4,3,4,4,4,4,4,4,4,3.89,3.89,3,12,2020-08-10,2.807692308,0.520298048,0
Portugal,4,3,2,4,4,4,3,2,3,3.22,3.22,3,12,2020-08-10,2.807692308,0.520298048,0
Spain,4,3,4,4,4,4,4,3,4,3.78,3.78,3,12,2020-08-10,2.807692308,0.520298048,0
UnitedKingdom,4,3,2,4,4,4,4,3,4,3.56,3.56,3,12,2020-08-10,2.807692308,0.520298048,0
CzechRepublic,4,3,4,4,4,4,4,3,4,3.78,3.78,3,12,2020-08-10,2.807692308,0.520298048,0
Hungary,4,3,4,4,4,4,4,4,4,3.89,3.89,3,12,2020-08-10,2.807692308,0.520298048,0
Latvia,4,3,4,4,4,4,3,3,4,3.67,3.67,3,12,2020-08-10,2.807692308,0.520298048,0
Lithuania,4,3,4,4,4,4,4,4,4,3.89,3.89,3,12,2020-08-10,2.807692308,0.520298048,0
Poland,4,3,4,4,4,4,4,3,4,3.78,3.78,3,12,2020-08-10,2.807692308,0.520298048,0
Slovakia,4,3,4,4,4,4,4,4,4,3.89,3.89,3,12,2020-08-10,2.807692308,0.520298048,0
Austria,3,3,4,4,4,4,4,4,4,3.78,3.78,3,12,2020-08-10,2.807692308,0.520298048,0
Greece,4,3,3,-10,4,4,4,4,4,3.75,3.75,3,12,2020-08-10,2.807692308,0.520298048,0
Italy,4,3,4,4,4,4,4,4,4,3.67,3.89,3,12,2020-08-10,2.807692308,0.520298048,0.22
Slovenia,4,3,2,-10,4,4,4,4,4,3.63,3.63,3,12,2020-08-10,2.807692308,0.520298048,0
Switzerland,4,3,4,-10,4,4,4,4,4,3.88,3.88,3,12,2020-08-10,2.807692308,0.520298048,0
Australia,3,2,2,4,3,3,3,3,3,2.89,2.89,2,12,2020-08-10,2.807692308,0.520298048,0
Israel,2,2,2,4,2,3,3,3,3,2.56,2.67,2,12,2020-08-10,2.807692308,0.520298048,0.11
Japan,4,3,4,4,4,4,4,3,4,3.78,3.78,3,12,2020-08-10,2.807692308,0.520298048,0
NewZealand,5,2,5,4,5,5,5,5,4,4.44,4.44,4,12,2020-08-10,2.807692308,0.520298048,0
SouthKorea,3,3,4,4,4,3,3,4,4,3.56,3.56,3,12,2020-08-10,2.807692308,0.520298048,0
Turkey,4,3,4,4,4,4,4,2,3,3.56,3.56,3,12,2020-08-10,2.807692308,0.520298048,0
Denmark,4,3,4,4,4,4,4,4,4,3.89,3.89,3,12,2020-08-10,2.807692308,0.520298048,0
Estonia,4,3,4,4,4,4,4,4,4,3.89,3.89,3,12,2020-08-10,2.807692308,0.520298048,0
Finland,4,3,4,4,4,4,4,4,4,3.89,3.89,3,12,2020-08-10,2.807692308,0.520298048,0
Iceland,4,3,3,4,4,4,4,4,4,3.78,3.78,3,12,2020-08-10,2.807692308,0.520298048,0
Norway,4,3,4,4,4,4,4,4,4,3.89,3.89,3,12,2020-08-10,2.807692308,0.520298048,0
Sweden,4,3,3,4,4,4,4,4,4,3.78,3.78,3,12,2020-08-10,2.807692308,0.520298048,0
Chile,1,2,2,-10,1,1,1,1,1,1.25,1.25,1,12,2020-08-10,2.807692308,0.520298048,0
Mexico,1,3,1,3,1,2,2,1,1,1.67,1.67,1,12,2020-08-10,2.807692308,0.520298048,0
California,2,3,2,4,3,2,2,3,2,2.56,2.56,2,12,2020-08-10,2.807692308,0.520298048,0
Illinois,3,3,2,4,4,4,4,4,4,3.56,3.56,3,12,2020-08-10,2.807692308,0.520298048,0
Michigan,3,3,3,4,3,3,3,3,3,3.11,3.11,3,12,2020-08-10,2.807692308,0.520298048,0
NewYork,2,3,2,3,4,3,3,2,3,2.78,2.78,2,12,2020-08-10,2.807692308,0.520298048,0
Texas,4,3,4,4,4,4,3,4,4,3.78,3.78,3,12,2020-08-10,2.807692308,0.520298048,0
Alberta,3,2,4,4,3,4,4,5,3,3.56,3.56,3,12,2020-08-10,2.807692308,0.520298048,0
BritishColumbia,3,2,2,3,3,3,4,2,3,2.78,2.78,2,12,2020-08-10,2.807692308,0.520298048,0
Manitoba,4,2,3,4,3,4,4,3,4,3.44,3.44,3,12,2020-08-10,2.807692308,0.520298048,0
NewBrunswick,4,2,3,4,4,4,4,3,4,3.56,3.56,3,12,2020-08-10,2.807692308,0.520298048,0
Newfoundland,4,2,2,4,4,4,3,3,4,3.22,3.33,3,12,2020-08-10,2.807692308,0.520298048,0.11
NorthwestTerritories,2,2,2,4,4,3,3,1,3,2.67,2.67,2,12,2020-08-10,2.807692308,0.520298048,0
NovaScotia,4,2,4,4,4,4,4,3,4,3.67,3.67,3,12,2020-08-10,2.807692308,0.520298048,0
Nunavut,3,2,3,4,3,3,4,4,4,3.22,3.33,3,12,2020-08-10,2.807692308,0.520298048,0.11
Ontario,4,2,3,4,4,4,3,2,4,2.78,3.33,3,12,2020-08-10,2.807692308,0.520298048,0.55
PrinceEdwardIsland,4,2,3,4,4,4,3,3,4,3.44,3.44,3,12,2020-08-10,2.807692308,0.520298048,0
Quebec,4,2,4,4,4,4,4,3,4,3.67,3.67,3,12,2020-08-10,2.807692308,0.520298048,0
Saskatchewan,4,2,2,4,4,4,4,3,4,3.44,3.44,3,12,2020-08-10,2.807692308,0.520298048,0
Yukon,3,2,3,4,4,3,4,1,2,2.89,2.89,2,12,2020-08-10,2.807692308,0.520298048,0
