Indicators:,cultural,borders,gatherings,manufacturing,contact,leisure,eateries,schools ,stores,last week,mean,rounded,round,date,average,std dev,change
IllinoisUSA,2,3,2,4,3,2,3,2,3,1.89,2.59,2,3,2020-06-05,2.538461538,0.710584947,0.7
Ireland,1,3,1,3,1,2,1,1,2,1.67,1.67,1,3,2020-06-05,2.538461538,0.710584947,0
Israel,3,2,3,4,4,3,3,4,4,3.11,3.33,3,3,2020-06-05,2.538461538,0.710584947,0.22
Italy,4,3,2,4,4,4,4,1,3,2.89,3.22,3,3,2020-06-05,2.538461538,0.710584947,0.33
Japan,4,3,4,4,4,3,4,3,4,3.67,3.67,3,3,2020-06-05,2.538461538,0.710584947,0
Latvia,3,3,2,3,3,3,3,3,4,3,3,3,3,2020-06-05,2.538461538,0.710584947,0
Lithuania,4,3,2,3,3,3,4,4,4,3.33,3.33,3,3,2020-06-05,2.538461538,0.710584947,0
Luxembourg,4,3,3,4,3,3,4,3,4,3.33,3.44,3,3,2020-06-05,2.538461538,0.710584947,0.11
Mexico,1,2,-10,3,1,2,-10,1,-10,1.5,1.67,1,3,2020-06-05,2.538461538,0.710584947,0.17
MichiganUSA,2,3,3,4,1,2,2,1,2,1.89,2.19,2,3,2020-06-05,2.538461538,0.710584947,0.3
Netherlands,4,2,1,4,3,3,4,2,3,2.22,2.89,2,3,2020-06-05,2.538461538,0.710584947,0.67
NewYorkUSA,1,3,2,2,1,2,2,1,1,1.67,1.67,1,3,2020-06-05,2.538461538,0.710584947,0
NewZealand,3,2,3,4,4,3,3,4,3,3.22,3.22,3,3,2020-06-05,2.538461538,0.710584947,0
Norway,3,3,3,3,3,3,3,4,3,2.78,3.11,3,3,2020-06-05,2.538461538,0.710584947,0.33
Poland,4,3,3,4,4,4,4,3,4,2.89,3.67,3,3,2020-06-05,2.538461538,0.710584947,0.78
Portugal,4,3,2,4,4,4,4,2,3,2.25,3.33,3,3,2020-06-05,2.538461538,0.710584947,1.08
Slovakia,4,3,3,3,4,4,4,4,4,3.44,3.67,3,3,2020-06-05,2.538461538,0.710584947,0.23
Slovenia,3,2,4,-10,4,4,4,4,4,3.25,3.63,3,3,2020-06-05,2.538461538,0.710584947,0.38
Spain,2,2,2,4,3,2,3,2,3,2.56,2.56,2,3,2020-06-05,2.538461538,0.710584947,0
SouthKorea,4,3,3,4,4,4,3,3,4,3.67,3.56,3,3,2020-06-05,2.538461538,0.710584947,-0.11
Sweden,4,3,3,4,4,4,4,4,4,3.78,3.78,3,3,2020-06-05,2.538461538,0.710584947,0
Switzerland,4,2,4,-10,4,4,4,4,4,3.13,3.75,3,3,2020-06-05,2.538461538,0.710584947,0.62
TexasUSA,4,3,2,-10,4,4,3,4,4,3.43,3.5,3,3,2020-06-05,2.538461538,0.710584947,0.07
Turkey,4,2,3,4,4,4,4,2,3,2.22,3.33,3,3,2020-06-05,2.538461538,0.710584947,1.11
UnitedKingdom,1,4,1,3,1,2,1,2,1,1.56,1.78,1,3,2020-06-05,2.538461538,0.710584947,0.22
AlbertaCanada,3,2,3,4,3,4,4,3,3,2.67,3.22,3,4,2020-06-12,2.681818182,0.631474727,0.55
Australia,3,2,2,4,3,3,3,4,3,2.89,3,3,4,2020-06-12,2.681818182,0.631474727,0.11
Austria,4,2,2,3,4,4,4,3,3,3.22,3.22,3,4,2020-06-12,2.681818182,0.631474727,0
Belgium,3,2,3,3,3,3,4,4,4,2.56,3.22,3,4,2020-06-12,2.681818182,0.631474727,0.66
BritishColumbiaCanada,3,2,2,3,3,2,3,2,3,2.56,2.56,2,4,2020-06-12,2.681818182,0.631474727,0
CaliforniaUSA,4,3,3,3,3,3,3,1,4,2.66,3,3,4,2020-06-12,2.681818182,0.631474727,0.34
Chile,1,2,2,-10,1,1,1,1,1,1.25,1.25,1,4,2020-06-12,2.681818182,0.631474727,0
CzechRepublic,4,3,4,4,4,4,3,4,4,3.78,3.78,3,4,2020-06-12,2.681818182,0.631474727,0
Denmark,4,3,3,4,4,4,3,3,4,3.33,3.56,3,4,2020-06-12,2.681818182,0.631474727,0.23
Estonia,4,3,3,4,4,4,4,3,4,3.67,3.67,3,4,2020-06-12,2.681818182,0.631474727,0
Finland,3,3,4,3,4,4,3,4,3,3.22,3.44,3,4,2020-06-12,2.681818182,0.631474727,0.22
France,3,2,2,4,3,2,3,3,3,2.67,2.78,2,4,2020-06-12,2.681818182,0.631474727,0.11
Germany,3,2,2,4,4,4,4,3,4,3.22,3.33,3,4,2020-06-12,2.681818182,0.631474727,0.11
Greece,3,2,2,-10,4,4,3,4,4,3.25,3.25,3,4,2020-06-12,2.681818182,0.631474727,0
Hungary,4,3,3,4,4,4,3,4,4,3.67,3.67,3,4,2020-06-12,2.681818182,0.631474727,0
Iceland,4,3,4,4,4,4,3,4,4,3.78,3.78,3,4,2020-06-12,2.681818182,0.631474727,0
IllinoisUSA,2,3,2,4,3,2,3,2,3,2.59,2.67,2,4,2020-06-12,2.681818182,0.631474727,0.08
Ireland,2,3,2,3,1,3,2,1,2,1.67,2.11,2,4,2020-06-12,2.681818182,0.631474727,0.44
Israel,3,2,3,4,4,3,3,4,4,3.33,3.33,3,4,2020-06-12,2.681818182,0.631474727,0
Italy,4,3,2,4,4,4,4,1,3,3.22,3.22,3,4,2020-06-12,2.681818182,0.631474727,0
Japan,4,3,4,4,4,3,4,3,4,3.67,3.67,3,4,2020-06-12,2.681818182,0.631474727,0
Latvia,4,3,3,3,3,3,3,3,4,3,3.22,3,4,2020-06-12,2.681818182,0.631474727,0.22
Lithuania,4,3,2,3,3,3,4,4,4,3.33,3.33,3,4,2020-06-12,2.681818182,0.631474727,0
Luxembourg,4,3,3,4,3,3,4,3,4,3.44,3.44,3,4,2020-06-12,2.681818182,0.631474727,0
Mexico,1,2,1,3,1,2,2,1,1,1.67,1.56,1,4,2020-06-12,2.681818182,0.631474727,-0.11
MichiganUSA,3,3,3,4,2,3,3,3,3,2.19,3,3,4,2020-06-12,2.681818182,0.631474727,0.81
Netherlands,4,3,2,4,3,3,4,2,3,2.89,3.11,3,4,2020-06-12,2.681818182,0.631474727,0.22
NewBrunswickCanada,3,2,3,4,4,4,4,3,4,3.44,3.44,3,4,2020-06-12,2.681818182,0.631474727,0
NewYorkUSA,1,3,2,3,1,2,2,1,2,1.67,1.89,1,4,2020-06-12,2.681818182,0.631474727,0.22
NewZealand,4,2,5,4,4,4,4,4,4,3.22,3.89,3,4,2020-06-12,2.681818182,0.631474727,0.67
Norway,4,3,3,4,4,3,4,4,4,3.11,3.67,3,4,2020-06-12,2.681818182,0.631474727,0.56
OntarioCanada,2,2,2,4,3,3,3,2,3,2,2.67,2,4,2020-06-12,2.681818182,0.631474727,0.67
Poland,4,3,3,4,4,4,4,3,4,3.67,3.67,3,4,2020-06-12,2.681818182,0.631474727,0
Portugal,4,3,2,4,4,4,4,2,3,3.33,3.33,3,4,2020-06-12,2.681818182,0.631474727,0
QuebecCanada,3,2,2,3,3,2,2,2,3,2.44,2.44,2,4,2020-06-12,2.681818182,0.631474727,0
Slovakia,4,3,3,4,4,3,3,4,4,3.56,3.56,3,4,2020-06-12,2.681818182,0.631474727,0
Slovenia,4,3,3,3,4,4,4,4,4,3.67,3.67,3,4,2020-06-12,2.681818182,0.631474727,0
Spain,3,4,4,-10,4,4,4,4,4,3.63,3.88,3,4,2020-06-12,2.681818182,0.631474727,0.25
SouthKorea,4,2,4,4,3,4,3,2,3,2.56,3.22,3,4,2020-06-12,2.681818182,0.631474727,0.66
Sweden,4,3,3,4,4,4,4,4,4,3.78,3.78,3,4,2020-06-12,2.681818182,0.631474727,0
Switzerland,4,2,4,-10,4,4,4,4,4,3.75,3.75,3,4,2020-06-12,2.681818182,0.631474727,0
TexasUSA,4,3,3,4,4,4,3,4,4,3.5,3.67,3,4,2020-06-12,2.681818182,0.631474727,0.17
Turkey,4,3,3,4,4,4,4,2,3,3.33,3.44,3,4,2020-06-12,2.681818182,0.631474727,0.11
UnitedKingdom,1,3,2,3,1,2,2,2,1,1.78,1.89,1,4,2020-06-12,2.681818182,0.631474727,0.11
Belgium,3,3,2,4,4,3,4,4,4,3.22,3.44,3,5,2020-06-19,2.727272727,0.578541912,0.22
